GISJOIN,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,residuals,N_perc_area_flood
G24051002802006,0.258093938,0.440043925,0.612063839,0.266484179,-52407.73385,0.0
G24051002803011,0.273251679,0.425621702,0.600559646,0.223465889,-15227.58174,0.0
G24051002803012,0.238352467,0.475042611,0.699260468,0.242903877,-25654.16636,0.009382863
G24051002803013,0.228270119,0.292966497,0.565116556,0.229007391,75543.31537,0.003629868
G24051002803021,0.192837894,0.563946087,0.715357228,0.22396273,-61834.42187,0.0
G24051002803022,0.325652483,0.565665199,0.571110091,0.400580447,-106705.0263,0.03540825
G24051002804011,0.207803837,0.564112914,0.582285365,0.183279407,-2331.074432,0.0
G24051002804012,0.239252922,0.53979507,0.588894076,0.191764042,7283.826691,0.0
G24051002804013,0.192527377,0.561139411,0.555890753,0.119159973,-829.9309928,0.0
G24051002804014,0.113558544,0.601115059,0.559841612,0.081964455,5526.237446,0.0
G24051002804015,0.082834292,0.603245915,0.566274536,0.061159195,8744.365083,0.0
G24051002804021,0.195601561,0.486741825,0.588894076,0.302080758,-56512.13386,0.0
G24051002804022,0.120872427,0.580867935,0.552159943,0.168080176,-24884.1982,0.0
G24051002804031,0.118699587,0.49580309,0.55455966,0.111807411,-9789.519069,0.0
G24051002804032,0.168579725,0.632147714,0.663156595,0.158479185,-6368.946354,0.0
G24051002804033,0.172708977,0.51449924,0.587932623,0.202898497,16046.66279,0.0
G24051002804034,0.274906431,0.49023478,0.546649823,0.273455662,13357.88492,0.0
G24051002804035,0.472992248,0.471479058,0.553690532,0.381350254,-12005.31797,0.0
G24051002804041,0.103662708,0.643154786,0.547375807,0.082148414,-9417.34074,0.0
G24051002804042,0.218652685,1.0,0.21674232,0.544660097,46228.58187,0.0
G24051002805003,0.157850696,0.0,0.515017652,0.12069062,57783.10915,0.0
