GISJOIN,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,residuals,N_perc_area_flood
G24000504085073,0.162453391,0.766292882,0.553450602,0.401096215,7796.294936,0.0
G24000504086011,0.24616903,0.66527422,0.803161589,0.386989345,64487.85812,0.0
G24000504086012,0.324526631,0.701055864,0.7709266,0.455251801,54558.98876,0.0
G24000504086013,0.208302784,0.651046994,0.809045538,0.302794487,55286.38303,0.0
G24000504086014,0.130191943,0.620371933,0.8639491,0.201755302,63878.51302,0.0
G24000504086021,0.219157605,0.646526972,0.753060837,0.310722377,62171.021,0.007853479
G24000504086022,0.388655726,0.699320595,0.646711209,0.442965677,48561.71274,0.033555066
G24000504087021,0.346424029,0.692213152,0.628416927,0.43453091,40601.78093,0.005677779
G24000504087022,0.494978646,0.709427517,0.636616368,0.550764284,93013.72231,0.006665622
G24000504087031,0.301486452,0.678318996,0.688187552,0.356688633,65006.03903,0.0
G24000504087032,0.395035006,0.810723873,0.564611237,0.507810408,51292.63057,0.0
G24000504087033,0.260541993,0.830164295,0.558138581,0.527838933,82514.87683,0.02849754
G24000504087034,0.240826266,0.776526018,0.552159943,0.445384335,40870.16293,0.0
G24000504087041,0.334141056,0.815006135,0.56157075,0.457739682,43218.39693,0.0
G24000504087042,0.554064842,0.774633939,0.648620771,0.541421126,99486.41154,0.001302299
G24000504087043,0.55605733,0.858072327,0.563724392,0.613123823,39756.04897,0.0
G24000504088001,0.332782027,0.570500799,0.687464001,0.356688633,54952.34729,0.0
G24000504088002,0.195207691,0.642365018,0.760593738,0.254379173,47527.71394,0.020426421
G24000504089001,0.324462784,0.696899727,0.714542273,0.415812278,39752.04643,0.0
G24000504089002,0.323428919,0.767646696,0.5986493,0.491776338,47503.68625,0.123654183
G24000504101001,0.657524786,0.813484114,0.65550896,0.671906481,-75674.86637,0.0
G24000504101002,0.556779143,0.711392201,0.668634024,0.497766139,86122.95682,0.020952589
G24000504101003,0.814929591,0.81138321,0.613501887,0.794193967,68188.95227,0.014260186
G24000504101004,0.587339471,0.758418722,0.675640044,0.621602313,51892.90848,0.0
G24000504102001,0.580577782,0.792760111,0.663319283,0.5994968,40734.34779,0.0
G24000504102002,0.702841191,0.801960784,0.648903717,0.712297871,-20679.58402,0.0
G24000504102003,0.659758264,0.773983847,0.695326978,0.702366905,9969.771302,0.0
G24000504111011,0.585981362,0.771971283,0.697516193,0.542491529,-37044.77824,0.000793195
G24000504111021,0.495215742,0.728279842,0.826071821,0.439107306,-28924.01144,0.0
G24000504111022,0.327016331,0.64347767,0.778652114,0.247913269,2209.699041,0.0
G24000504111023,0.488727507,0.694173757,0.700529745,0.441935162,-3540.599864,0.001498216
G24000504112011,0.487197526,0.724693929,0.719734381,0.548320639,42470.91845,0.003497694
G24000504112012,0.478934899,0.741666464,0.707477565,0.488197327,56583.44728,0.0
G24000504112013,0.40501516,0.720986641,0.759427189,0.407895749,26054.5736,0.010394231
G24000504112014,0.538729696,0.761216136,0.68348447,0.531561947,-42712.485,0.0
G24000504112021,0.506952067,0.72504388,0.746994236,0.57479271,66987.0289,0.0
G24000504112022,0.533451706,0.750164835,0.702889086,0.507886559,46949.75866,0.001737549
G24000504112023,0.386185966,0.645885196,0.784987282,0.333574759,35372.71834,0.010583169
G24000504113021,0.454202285,0.887926876,0.611180523,0.481528445,67306.81445,0.008561961
G24000504113031,0.309233049,0.814122178,0.674996337,0.380548395,-2100.479534,0.0
G24000504113032,0.258142977,0.709457944,0.773839681,0.307224964,27327.38574,0.0
