GISJOIN,AJWME001
G24000504517012,1326
G24000504517021,823
G24000504517022,1095
G24000504518011,589
G24000504518012,1688
G24000504518013,1333
G24000504518014,1979
G24000504518021,1261
G24000504518022,1048
G24000504518023,1603
G24000504518031,2183
G24000504518032,2272
G24000504519001,592
G24000504519002,847
G24000504519003,1081
G24000504520001,1077
G24000504520002,1584
G24000504521001,1712
G24000504521002,1052
G24000504521003,563
G24000504523001,1612
G24000504523002,1442
G24000504524001,992
G24000504524002,2218
G24000504525001,735
G24000504525002,2260
G24000504525003,711
G24000504901001,1659
G24000504901002,776
G24000504901003,1428
G24000504902001,888
G24000504902002,1030
G24000504902003,943
G24000504903011,2259
G24000504903012,2840
G24000504903013,2315
G24000504903021,1185
G24000504903022,3597
G24000504904001,1130
G24000504904002,713
G24000504905001,915
G24000504905002,1534
G24000504905003,1212
G24000504906011,1058
G24000504906012,1108
G24000504906021,1218
G24000504906022,1731
G24000504906031,1496
G24000504906032,776
G24000504906051,2831
G24000504906052,2271
G24000504907011,1665
G24000504907031,1805
G24000504907032,1410
G24000504908001,1201
G24000504908002,2081
G24000504909001,1692
G24000504909002,2191
G24000504909003,452
G24000504910001,1075
G24000504910002,1196
G24000504911001,1294
G24000504911002,1559
G24000504911003,1006
G24000504912011,1013
G24000504912012,584
G24000504912021,1242
G24000504912022,655
G24000504913001,1596
G24000504913002,2008
G24000504914011,949
G24000504914012,1895
G24000504914013,2633
G24000504914021,1440
G24000504914022,1482
G24000504915001,1241
G24000504915002,1233
G24000504915003,1896
G24000504916001,819
G24000504916002,1214
G24000504916003,1278
G24000504917011,1227
G24000504917012,1650
G24000504917013,1151
G24000504919001,1010
G24000504919002,822
G24000504920011,861
G24000504920012,478
G24000504920021,780
G24000504920022,972
G24000504920023,921
G24000504920024,1138
G24000504921011,577
G24000504921012,1059
G24000504921013,932
G24000504921014,1145
G24000504921021,1059
G24000504921022,1080
G24000504922001,1285
G24000504922002,2482
G24000504922003,1087
G24000504923001,1538
G24000504923002,2692
G24000504924011,1559
G24000504924012,2058
G24000504924021,3229
G24000504924022,2924
G24000504925001,2561
G24000504925002,356
G24000504926001,103
G24000504926002,1366
G24000504926003,2299
G24000509800001,0
G24000509801001,0
G24000509802001,0
G24000908601011,1794
G24000908601012,1384
G24000908601021,2003
G24000908601022,813
G24000908602001,2585
G24000908602002,3502
G24000908603001,1935
G24000908603002,1806
G24000908603003,1029
G24000908604011,2807
G24000908604012,886
G24000908604013,4040
G24000908604014,2433
G24000908604021,3103
G24000908604022,656
G24000908605011,3415
G24000908605012,3384
G24000908605021,948
G24000908605022,2237
G24000908606001,2482
G24000908606002,2217
G24000908606003,2483
G24000908607011,3001
G24000908607021,1436
G24000908607022,1987
G24000908607031,1997
G24000908607032,1801
G24000908608011,2789
G24000908608012,727
G24000908608013,3578
G24000908608021,457
G24000908608022,1192
G24000908608023,3099
G24000908609001,2782
G24000908609002,1479
G24000908609003,1342
G24000908609004,1363
G24000908610011,1055
G24000908610031,2191
G24000908610032,1419
G24000908610033,2488
G24000908610041,1847
G24000908610042,2911
G24000908610043,2199
G24000909901000,0
G24001109550001,2205
G24001109550002,1374
G24001109551001,1303
G24001109551002,2479
G24001109551003,1896
G24001109552011,2157
G24001109552012,1514
G24001109552021,1032
G24001109552022,1059
G24001109553011,2527
G24001109553012,1854
G24001109553021,1141
G24001109553022,898
G24001109553023,1191
G24001109554001,660
G24001109554002,1352
G24001109555001,1141
G24001109555002,1341
G24001109555003,1444
G24001109556001,365
G24001109556002,2170
G24001109556003,655
G24001109556004,1117
G24001305010011,1437
G24001305010012,2447
G24001305010013,325
G24001305010021,2979
G24001305010022,1007
G24001305010023,1573
G24001305020001,1468
G24001305020002,1983
G24001305030001,885
G24001305030002,1701
G24001305030003,1123
G24001305030004,1705
G24001305041001,1601
G24001305041002,2428
G24001305041003,897
G24001305042011,1479
G24001305042012,1500
G24001305042013,1812
G24001305042014,1566
G24001305042021,1127
G24001305042022,2438
G24001305042023,1820
G24001305042024,1131
G24001305051011,2127
G24001305051012,1886
G24001305051021,1933
G24001305051022,2170
G24001305051023,1431
G24001305052031,1838
G24001305052032,1000
G24001305052033,917
G24001305052051,2324
G24001305052052,1308
G24001305052061,1506
G24001305052062,1786
G24001305052071,1524
G24001305052072,2338
G24001305052081,1419
G24001305052082,2084
G24001305052083,1364
G24001305061011,830
G24001305061012,1425
G24001305061013,2149
G24001305061021,1923
G24001305061022,2238
G24001305062001,1927
G24001305062002,696
G24001305062003,1355
G24001305062004,1176
G24001305075001,1167
G24001305075002,2192
G24001305075003,1555
G24001305076011,1244
G24001305076012,2502
G24001305076013,1211
G24001305076021,1315
G24001305076022,1745
G24001305076023,1035
G24001305077021,2522
G24001305077022,1191
G24001305077031,2188
G24001305077032,859
G24001305077041,1748
G24001305077042,1299
G24001305077043,2974
G24001305078011,2802
G24001305078012,1503
G24001305078013,1567
G24001305078021,1380
G24001305078022,760
G24001305078023,1724
G24001305078024,864
G24001305081011,1650
G24001305081012,1521
G24001305081013,1585
G24001305081021,1804
G24001305081022,1073
G24001305082001,552
G24001305082002,1976
G24001305082003,1300
G24001305082004,1675
G24001305082005,1335
G24001305090011,1594
G24001305090012,2775
G24001305090021,1413
G24001305090022,1394
G24001305100001,1496
G24001305110001,1419
G24001305110002,1368
G24001305110003,899
G24001305120001,858
G24001305120002,574
G24001305130011,2809
G24001305130012,534
G24001305130013,1540
G24001305130021,1669
G24001305130022,1412
G24001305130023,2508
G24001305141001,1400
G24001305141002,583
G24001305141003,1610
G24001305142011,1500
G24001305142012,2473
G24001305142013,1260
G24001305142021,2020
G24001305142022,1490
G24001500301001,1002
G24001500301002,1700
G24001500301003,1753
G24001500302001,1042
G24001500302002,1304
G24001500302003,1516
G24001500302004,560
G24001500302005,591
G24001500304001,1258
G24001500304002,1472
G24001500304003,1733
G24001500304004,709
G24001500305011,1690
G24001500305012,2557
G24001500305031,1244
G24001500305032,1543
G24001500305033,1638
G24001500305034,963
G24001500305051,2757
G24001500305052,1588
G24001500305061,2113
G24001500305062,3002
G24001500305063,2873
G24001500306011,1286
G24001500306012,1688
G24001500306013,823
G24001500306021,1777
G24001500306022,3413
G24001500307001,1574
G24001500307002,1910
G24001500307003,1403
G24001500309031,1586
G24001500309032,3946
G24001500309041,628
G24001500309042,1568
G24001500309043,1986
G24001500309044,1344
G24001500309045,2328
G24001500309051,1134
G24001500309052,1591
G24001500309061,4458
G24001500309062,972
G24001500309063,3421
G24001500309064,1173
G24001500312011,1789
G24001500312012,2203
G24001500312013,2018
G24001500312021,1717
G24001500312022,1369
G24001500312023,2257
G24001500313011,1706
G24001500313012,1679
G24001500313021,2991
G24001500313022,1754
G24001500313023,2303
G24001500314001,2010
G24001500314002,2104
G24001708501011,2967
G24001708501012,2750
G24001708501021,1489
G24001708501022,833
G24001708502011,1095
G24001708502021,1745
G24001708502022,1238
G24001708502023,1673
G24001708503001,1050
G24001708503002,960
G24001708504001,354
G24001708504002,1691
G24001708504003,1525
G24001708505001,1334
G24001708505002,1550
G24001708506001,1629
G24001708506002,1311
G24001708506003,2055
G24001708507061,3904
G24001708507062,1437
G24001708507081,2308
G24001708507082,3272
G24001708507091,3117
G24001708507092,1110
G24001708507093,2577
G24001708507101,3169
G24001708507102,2646
G24001708507111,2377
G24001708507112,782
G24001708507113,1885
G24001708507121,2627
G24001708507122,3274
G24001708507131,3936
G24001708507132,4203
G24001708508011,825
G24001708508012,927
G24001708508013,1250
G24001708508014,1880
G24001708508021,2041
G24001708508022,2039
G24001708508023,1098
G24001708509011,1840
G24001708509012,2038
G24001708509013,1301
G24001708509021,1944
G24001708509022,2430
G24001708509023,1340
G24001708509041,8211
G24001708509042,1162
G24001708509051,2038
G24001708509052,2157
G24001708509061,1766
G24001708509062,730
G24001708509063,1802
G24001708510011,984
G24001708510012,2934
G24001708510021,500
G24001708510022,2268
G24001708510023,953
G24001708510024,1103
G24001708510025,1364
G24001708510026,3043
G24001708511001,940
G24001708511002,2080
G24001708512001,1663
G24001708512002,615
G24001708512003,1391
G24001708512004,1304
G24001708513011,1834
G24001708513012,3272
G24001708513021,545
G24001708513022,1189
G24001708513023,3071
G24001708514001,2043
G24001708514002,3021
G24001708514003,1079
G24001708514004,2564
G24001708515001,2252
G24001708515002,2905
G24001708515003,4062
G24001709900000,0
G24001909701001,1046
G24001909701002,850
G24001909701003,971
G24001909702001,1117
G24001909702002,2458
G24001909702003,1449
G24001909702004,844
G24001909703001,1436
G24001909703002,1107
G24001909703003,832
G24001909703004,814
G24001909704001,862
G24001909704002,1308
G24001909704003,607
G24001909704004,819
G24001909705001,416
G24001909705002,1517
G24001909705003,1736
G24001909706001,2130
G24001909706002,1213
G24001909706003,1258
G24001909707021,874
G24001909707022,459
G24001909707023,855
G24001909707024,1769
G24001909708041,1067
G24001909708042,1123
G24001909709001,622
G24001909709002,702
G24001909900000,0
G24002107402001,495
G24002107402002,1361
G24002107402003,1630
G24002107402004,1357
G24002107501001,720
G24002107501002,659
G24002107502001,498
G24002107502002,1248
G24002107503001,907
G24002107503002,680
G24002107505031,2196
G24002107505032,1190
G24002107505033,634
G24002107505034,351
G24002107505035,3230
G24002107505041,2003
G24002107505042,1133
G24002107505043,2053
G24002107505044,661
G24002107505051,2796
G24002107505052,1084
G24002107505053,3287
G24002107505061,1659
G24002107505062,1357
G24002107505063,1447
G24002107506001,1333
G24002107506002,542
G24002107506003,663
G24002107507011,2499
G24002107507012,1881
G24002107507013,1096
G24002107507021,1687
G24002107507022,823
G24002107507023,874
G24002107508011,617
G24002107508012,1834
G24002107508013,528
G24002107508021,2089
G24002107508022,930
G24002107508023,2529
G24002107508031,1999
G24002107508032,1494
G24002107508033,3070
G24002107510011,1030
G24002107510021,1750
G24002107510022,879
G24002107510023,1835
G24002107510024,858
G24002107510031,2323
G24002107510032,2653
G24002107510033,866
G24002107510041,764
G24002107510042,3488
G24002107512011,972
G24002107512012,2163
G24002107512013,1913
G24002107512021,1773
G24002107512022,2922
G24002107512023,1064
G24002107512024,965
G24002107512031,841
G24002107512032,156
G24002107512033,978
G24002107513011,1245
G24002107513012,2826
G24002107513021,1803
G24002107513022,1430
G24002107516001,1345
G24002107516002,1695
G24002107517011,594
G24002107517012,1006
G24002107517013,790
G24002107517021,1412
G24002107517022,1516
G24002107517023,903
G24002107518011,1092
G24002107518012,995
G24002107518013,891
G24002107518014,1749
G24002107518021,1411
G24002107518022,1311
G24002107518023,663
G24002107519011,799
G24002107519012,1860
G24002107519013,1841
G24002107519021,2546
G24002107519022,1504
G24002107519023,1809
G24002107519031,1065
G24002107519032,1070
G24002107519033,1063
G24002107519034,171
G24002107519035,1384
G24002107519036,1304
G24002107519041,1548
G24002107519042,1928
G24002107520011,1444
G24002107520012,1766
G24002107520013,1875
G24002107521011,2325
G24002107521012,1074
G24002107521021,1784
G24002107521022,1238
G24002107521023,73
G24002107521024,1379
G24002107522011,1485
G24002107522012,807
G24002107522021,1731
G24002107522022,1467
G24002107522023,1043
G24002107522041,811
G24002107522042,3342
G24002107522043,1476
G24002107522044,2761
G24002107523011,2454
G24002107523012,244
G24002107523013,2361
G24002107523021,930
G24002107523022,2328
G24002107523023,788
G24002107523031,641
G24002107523032,1002
G24002107523033,2166
G24002107525011,892
G24002107525012,1542
G24002107525013,855
G24002107525014,1663
G24002107525021,1613
G24002107525022,879
G24002107526011,1312
G24002107526012,724
G24002107526013,1235
G24002107526014,867
G24002107526021,1008
G24002107526022,667
G24002107526023,1510
G24002107526031,950
G24002107526032,1711
G24002107526033,1169
G24002107528011,1371
G24002107528012,657
G24002107528021,1024
G24002107528022,2655
G24002107529001,1185
G24002107529002,2056
G24002107530011,486
G24002107530012,1588
G24002107530013,190
G24002107530014,142
G24002107530015,1183
G24002107530016,1135
G24002107530021,254
G24002107530022,929
G24002107530023,1262
G24002107530024,354
G24002107651001,2035
G24002107651002,1019
G24002107651003,806
G24002107668001,1507
G24002107668002,1303
G24002107668003,2072
G24002107668004,933
G24002107675001,1041
G24002107675002,891
G24002107675003,674
G24002107676001,975
G24002107676002,1291
G24002107676003,696
G24002107707001,1524
G24002107707002,1106
G24002107707003,857
G24002107722001,530
G24002107722002,821
G24002107735001,1073
G24002107735002,1258
G24002107735003,2069
G24002107753021,595
G24002107753022,58
G24002107753023,655
G24002107753024,629
G24002107753025,1565
G24002107753026,1143
G24002107754001,876
G24002107754002,497
G24002107754003,619
G24002107754004,1033
G24002107754005,739
G24002107756001,1153
G24002107756002,1276
G24002107756003,1404
G24002300001001,1026
