GISJOIN,MedianSalesPrice,MeanSqfeet,MeanAge,MeanNoOfStories,MeanFullBathNumber,per_area_flood,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,N_perc_area_flood,residuals
G24000504304002057,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504304002050,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504304003019,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504304002052,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504304002053,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504304002034,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504306001006,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504301041006,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504307003013,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504307003027,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504307003024,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504308003012,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504307002004,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504307002017,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504307003017,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504307003022,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504307003023,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504309002003,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504303003019,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504304002006,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504304002009,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000509801001010,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504306002047,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
G24000504308003013,143278,1619,71.89,1.914,1.706,0.01429,0.2294,0.5925,0.5934,0.279,0.9774,0
