GISJOIN,TotalTransactions,MedianSalesPriceAmount,MeanSqfeet,MeanAge,MeanNoOfStories,MeanFullBathNumber,perc_fld_area,N_MeanSqfeet,N_MeanAge,N_MeanNoOfStories,N_MeanFullBathNumber,N_perc_area_flood,residuals
G24000504009001012,165,193000,1682.527273,67.62424242,1.609090909,1.866666667,0,0.159517379,0.640880732,0.790664408,-0.787225549,1,9415.263278
G24000504009001018,34,91500,1444.735294,57.5,1.75,2.235294118,0,0.121968534,0.702133411,0.742236025,-0.696724199,1,-94928.96845
G24000504009001025,45,220000,1187.933333,78.22222222,1.2,1.311111111,0,0.081417895,0.576761895,0.93126294,-0.923619428,1,110895.148
G24000504009001029,44,176950,1338.477273,72.13636364,1.227272727,1.590909091,0,0.105189727,0.613581948,0.921889704,-0.854926511,1,34335.03892
G24000504009001030,30,289500,2363.2,88.43333333,2.05,2.666666667,0,0.266999869,0.514983652,0.639130435,-0.590818363,1,24692.57559
G24000504010001001,81,107500,1268.938272,85.09876543,1.765432099,1.518518519,0,0.094209082,0.535158121,0.736932239,-0.872699046,1,-1326.867649
G24000504010001004,46,182800,1976.521739,86.43478261,2.076086957,2.108695652,0,0.205940948,0.527075084,0.630164731,-0.727805259,1,-15701.59197
G24000504010001005,37,350000,2604.567568,77.27027027,2.27027027,2.351351351,0,0.305113321,0.582521299,0.563426781,-0.668231105,1,77989.76841
G24000504010001014,40,135500,1640.575,111.375,1.9125,1.5,0,0.152892852,0.376184275,0.686387164,-0.877245509,1,16753.55061
G24000504010002000,31,282000,1786.354839,75.4516129,2.048387097,1.387096774,0,0.175912402,0.593524358,0.639684766,-0.904964265,1,132859.3768
G24000504010002009,52,242500,1640.365385,55.5,1.740384615,2.057692308,0,0.152859752,0.714233611,0.745540691,-0.740327038,1,46318.79256
G24000504010002012,32,205250,2293.3125,73.34375,2.140625,2.0625,0,0.255964195,0.60627714,0.607983954,-0.739146707,1,-27974.02914
G24000504011011001,168,124698,1345.142857,32.97619048,1.982142857,1.601190476,0,0.106242264,0.850504911,0.662451937,-0.852402338,1,-29163.19335
G24000504011011007,49,125500,1288.040816,66,1.489795918,1.102040816,0,0.097225494,0.650707561,0.831664343,-0.974948063,1,17195.69435
G24000504011011008,52,136000,1375.480769,62.69230769,1.538461538,1.346153846,0,0.111032811,0.67071943,0.814938685,-0.915016122,1,4629.34404
G24000504011011011,57,117000,1316.491228,66,1.385964912,1.228070175,0,0.101717992,0.650707561,0.867349533,-0.944006723,1,-3668.511393
G24000504011011013,53,132000,1428.113208,59.86792453,1.452830189,1.150943396,0,0.119343803,0.687807231,0.844368921,-0.96294204,1,2515.834294
G24000504011011014,45,128000,1357.977778,62.6,1.466666667,1.377777778,0,0.108268979,0.671277901,0.839613527,-0.907252162,1,-5428.621841
G24000504011012004,62,112000,1380.483871,66,1.467741935,1.048387097,0,0.111822832,0.650707561,0.839243972,-0.988120533,1,-2359.906281
G24000504011012005,42,161625,1279.5,65.95238095,1.380952381,1.357142857,0,0.095876846,0.650995661,0.869072267,-0.912318221,1,36922.85852
G24000504011012007,54,165000,1456.222222,64.92592593,1.648148148,1.574074074,0,0.123782392,0.657205817,0.777241009,-0.859059658,1,17768.73835
G24000504011012008,167,109500,1175.826347,63.94011976,1.74251497,1.137724551,0,0.079506126,0.663170043,0.74480852,-0.966187386,1,14397.40332
G24000504011012014,47,160000,1344.489362,64.72340426,1.425531915,1.276595745,0,0.106139073,0.658431093,0.853750936,-0.93209326,1,34063.46595
G24000504011012016,55,122000,1503.581818,65,1.690909091,1.272727273,0,0.131260769,0.656757661,0.762544702,-0.933043005,1,-11458.25698
G24000504011012017,57,95400,1064,63,2,1.035087719,0,0.061848045,0.668857861,0.6563147,-0.99138565,1,22222.10062
G24000504011012018,53,118000,1426.716981,64.56603774,1.509433962,1.169811321,0,0.11912333,0.659383176,0.824915036,-0.958309796,1,-7485.514169
G24000504011012019,46,149000,1425.26087,65,1.608695652,1.282608696,0,0.118893401,0.656757661,0.790800252,-0.930617027,1,20123.09645
G24000504011012020,43,115000,1362.209302,63.37209302,1.465116279,1.139534884,0,0.108937163,0.666606661,0.840146372,-0.965742933,1,-4841.673592
G24000504011013001,51,117000,1364.176471,60.11764706,1.284313725,1.333333333,0,0.109247791,0.686296385,0.902285552,-0.918163673,1,-20962.14183
G24000504011013002,85,136000,1325.776471,51.36470588,1.352941176,1.670588235,0,0.10318419,0.739252554,0.878699306,-0.835364565,1,-22231.29565
G24000504011013005,35,104906,1250,60.68571429,1.4,1.742857143,0,0.091218611,0.682859521,0.86252588,-0.817621899,1,-42278.57285
G24000504011013011,34,115750,1184.529412,63.44117647,1.294117647,1.382352941,0,0.080880394,0.6661887,0.898916088,-0.906128919,1,-5688.442543
G24000504011013012,35,117902,1252.914286,64.4,1.357142857,1.514285714,0,0.091678795,0.660387721,0.87725525,-0.873738238,1,-14974.23965
G24000504011013014,33,145800,1333.606061,64.84848485,1.318181818,2.03030303,0,0.104420532,0.657674343,0.890645586,-0.747051352,1,-24282.11228
G24000504011013019,31,115000,957.9354839,64.41935484,1.080645161,1.322580645,0,0.045099793,0.660270623,0.972283444,-0.920803554,1,13147.7417
G24000504011013020,42,120000,1073.547619,62.14285714,1.166666667,1.30952381,0,0.063355674,0.674043661,0.942719117,-0.924009125,1,8707.405155
G24000504011013023,39,125000,1199.897436,64.76923077,1.307692308,1.205128205,0,0.083307102,0.658153838,0.894250677,-0.949639183,1,13476.54425
G24000504011013025,55,120000,1181.890909,63.81818182,1.245454545,1.454545455,0,0.080463758,0.663907779,0.915640881,-0.888405008,1,-6220.10065
G24000504011013028,32,145000,984,61.5625,1.09375,1.3125,0,0.049215543,0.67755488,0.967779503,-0.923278443,1,39516.65318
G24000504011013029,45,104900,970.2444444,64.73333333,1.177777778,1.333333333,0,0.047043455,0.658371021,0.938900391,-0.918163673,1,4000.926369
G24000504011013030,44,112450,968.3863636,60.15909091,1.181818182,1.818181818,0,0.046750052,0.686045645,0.937511764,-0.799129015,1,-18937.5393
G24000504011013035,30,119950,1088.133333,63.43333333,1.216666667,1.3,0,0.065658849,0.666236151,0.925534852,-0.926347305,1,10078.04238
G24000504011014003,81,100840,1210.814815,38.40740741,2,1.345679012,0,0.085031024,0.817645505,0.6563147,-0.915132698,1,-21720.86438
G24000504011021002,36,97450,1207.666667,66.22222222,1,1.222222222,0.173448496,0.084533912,0.649363095,1,-0.945442448,0.826551504,-17032.06685
G24000504011021013,49,97000,1171.55102,61.14285714,1.316326531,1.12244898,0,0.078831025,0.680093761,0.891283221,-0.969937676,1,-9728.218279
G24000504012001000,46,99999.5,1846.869565,105.1304348,1.858695652,1.695652174,0,0.185468057,0.413964519,0.704878927,-0.829211143,1,-54822.66899
G24000504012001001,40,122000,1240.725,68.325,1.425,1.675,0,0.08975403,0.636641079,0.853933747,-0.834281437,1,-14175.96479
G24000504012001003,45,110000,1364.333333,70.62222222,1.466666667,1.6,0,0.109272561,0.622742655,0.839613527,-0.852694611,1,-30574.98835
G24000504012001021,40,98496,1544.225,68.725,1.5,1.8,0,0.137678583,0.634221039,0.82815735,-0.803592814,1,-70518.83611
G24000504012001023,40,116700,1174.85,74.875,1.3,1.95,0,0.079351955,0.597012924,0.89689441,-0.766766467,1,-27203.55906
G24000504012001025,41,89500,1241.02439,82.58536585,1.5,1.536585366,0,0.089801306,0.55036444,0.82815735,-0.868263473,1,-26369.68068
G24000504012001027,47,92000,1565.404255,83.59574468,1.531914894,1.531914894,0,0.14102292,0.544251547,0.81718867,-0.869410116,1,-51954.89334
G24000504012001029,35,100900,1336.114286,72.65714286,1.528571429,1.857142857,0,0.104816596,0.610431181,0.81833777,-0.78956373,1,-48495.96214
G24000504012002006,384,150000,1611.989583,58.3046875,1.75,1.869791667,0,0.148379035,0.697264971,0.742236025,-0.786458333,1,-30630.56846
G24000504012002019,36,79950,1467.222222,54.55555556,2,1.25,0,0.125519361,0.719947594,0.6563147,-0.938622754,1,-48824.20274
G24000504012002020,45,113999,1522.2,92.84444444,1.655555556,1.533333333,0,0.134200697,0.488295989,0.774695192,-0.869061876,1,-16028.98278
G24000504012002022,103,103000,1380.213592,73.62135922,1.538834951,1.495145631,0,0.111780153,0.604597576,0.814810348,-0.8784373,1,-29060.69485
G24000504012002023,34,101700,1527.441176,89.58823529,1.691176471,1.323529412,0,0.135028312,0.50799638,0.762452807,-0.920570623,1,-18498.14627
G24000504012002025,45,112000,1328.066667,78.24444444,1.6,1.444444444,0,0.103545827,0.576627448,0.79378882,-0.890884897,1,-7397.877008
G24000504012002026,41,115000,1297.926829,75.48780488,1.707317073,1.43902439,0.052436611,0.098786557,0.593305393,0.756905519,-0.892215569,0.947563389,995.1844918
G24000504012002027,124,103500,1307.25,75.33870968,1.717741935,1.532258065,0,0.100258745,0.594207434,0.753322647,-0.869325864,1,-18114.60334
G24000504012002028,58,108900,1387.827586,74.94827586,1.577586207,1.465517241,0,0.112982451,0.596569598,0.801492111,-0.885711336,1,-20220.79811
G24000504013011009,213,91214,1164.938967,63.78873239,1.995305164,1.145539906,0,0.07778694,0.664085951,0.657928246,-0.964268646,1,2966.055992
G24000504013011013,67,90000,1216.328358,64.35820896,2,1.149253731,0,0.085901647,0.660640561,0.6563147,-0.963356868,1,-2652.693414
G24000504013011014,79,93900,1113.974684,65.89873418,2,1.253164557,0,0.06973936,0.65132023,0.6563147,-0.937845827,1,5970.364704
G24000504013011015,104,105850,1066.076923,66.43269231,2,1.259615385,0,0.062176004,0.64808973,0.6563147,-0.936262091,1,22370.75285
G24000504013011016,97,95000,1103.835052,64.09278351,2,1.278350515,0,0.068138249,0.662246412,0.6563147,-0.931662448,1,5238.845988
G24000504013011017,59,88000,1193.559322,63,2,1.13559322,0,0.082306274,0.668857861,0.6563147,-0.966710647,1,-2794.468814
G24000504013011019,44,105592,1196.545455,62,2,1.227272727,0,0.082777803,0.674907961,0.6563147,-0.944202504,1,8604.776612
G24000504013011024,51,90000,1204.156863,64.92156863,2,1.137254902,0,0.083979692,0.657232179,0.6563147,-0.966302689,1,-433.7176742
G24000504013011025,50,93750,1248.96,65.94,2,1.26,0,0.091054388,0.651070567,0.6563147,-0.936167665,1,-6981.109281
G24000504013011026,44,97949.5,1226.181818,65.22727273,2,1.159090909,0,0.08745757,0.655382639,0.6563147,-0.960941753,1,4480.753595
G24000504013011027,54,87000,1250.222222,65.90740741,2,1.351851852,0,0.091253701,0.651267756,0.6563147,-0.91361721,1,-19053.86318
G24000504013012001,44,89950,1202.909091,61.56818182,2,1.25,0,0.083782661,0.677520504,0.6563147,-0.938622754,1,-9227.945186
G24000504013012003,56,88950,1192.214286,63,2,1.267857143,0,0.082093884,0.668857861,0.6563147,-0.934238666,1,-9182.494992
G24000504013012004,39,92000,1209.435897,61.61538462,2,1,0,0.084813285,0.677234923,0.6563147,-1,1,6359.872332
G24000504013012007,64,120000,1191.375,64,2,1.21875,0,0.081961356,0.662807761,0.6563147,-0.94629491,1,25460.4637
