STATEFP,COUNTYFP,TRACTCE,BLOCKCE,GEOID,NAME,MTFCC,UR,UACE,UATYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GISJOIN,Shape_area,Shape_len
24,510,280401,2000,245102804012000,Block 2000,G5040,U,04843,U,S,59382,0,+39.2948805,-076.6922022,G24051002804012000,59381.9835381,1080.7758269
24,510,280401,3002,245102804013002,Block 3002,G5040,U,04843,U,S,24181,0,+39.2947574,-076.7036230,G24051002804013002,24181.2382417,635.909461858
24,510,250101,2032,245102501012032,Block 2032,G5040,U,04843,U,S,10207,0,+39.2737603,-076.6941419,G24051002501012032,10207.0975254,587.644214486
24,510,280404,1022,245102804041022,Block 1022,G5040,U,04843,U,S,6349,0,+39.2842798,-076.6893201,G24051002804041022,6348.71343617,328.953290841
24,510,280404,1012,245102804041012,Block 1012,G5040,U,04843,U,S,6233,0,+39.2861265,-076.6881088,G24051002804041012,6232.60405597,403.663823491
24,510,250102,1008,245102501021008,Block 1008,G5040,U,04843,U,S,11550,0,+39.2737250,-076.6896119,G24051002501021008,11549.8415715,619.595012656
24,510,160801,4009,245101608014009,Block 4009,G5040,U,04843,U,S,6123,0,+39.2948469,-076.6848038,G24051001608014009,6122.62234209,391.699696227
24,510,160801,3013,245101608013013,Block 3013,G5040,U,04843,U,S,3387,0,+39.2966987,-076.6835629,G24051001608013013,3386.86885114,249.691777645
24,510,200800,2004,245102008002004,Block 2004,G5040,U,04843,U,S,8524,0,+39.2853340,-076.6863682,G24051002008002004,8523.70780819,404.250407925
24,510,200800,3002,245102008003002,Block 3002,G5040,U,04843,U,S,11226,0,+39.2823800,-076.6804976,G24051002008003002,11226.3680005,445.327855777
24,510,160801,2017,245101608012017,Block 2017,G5040,U,04843,U,S,4924,0,+39.2980354,-076.6826246,G24051001608012017,4923.94751785,325.992692931
24,510,200701,4010,245102007014010,Block 4010,G5040,U,04843,U,S,5967,0,+39.2900551,-076.6784083,G24051002007014010,5966.50735946,393.869607851
24,510,250103,4017,245102501034017,Block 4017,G5040,U,04843,U,S,9752,0,+39.2723595,-076.6817774,G24051002501034017,9752.40174296,399.516014018
24,510,280500,1018,245102805001018,Block 1018,G5040,U,04843,U,S,3923,0,+39.2947651,-076.5985382,G24051002805001018,3923.1821755,250.582971029
24,510,280500,1025,245102805001025,Block 1025,G5040,U,04843,U,S,1765,0,+39.2938802,-076.5979359,G24051002805001025,1764.91573484,171.327672796
24,510,030100,2005,245100301002005,Block 2005,G5040,U,04843,U,S,5825,0,+39.2924677,-076.5983975,G24051000301002005,5825.16245863,314.622360595
24,510,030100,2006,245100301002006,Block 2006,G5040,U,04843,U,S,2348,0,+39.2923768,-076.5989140,G24051000301002006,2347.61075734,233.54796962
24,510,272003,5004,245102720035004,Block 5004,G5040,U,04843,U,S,11538,0,+39.3671198,-076.6846777,G24051002720035004,11538.261902,443.754202
24,510,271801,3017,245102718013017,Block 3017,G5040,U,04843,U,S,2468,0,+39.3487339,-076.6872777,G24051002718013017,2468.22775051,215.227621278
24,510,271501,1014,245102715011014,Block 1014,G5040,U,04843,U,S,9970,0,+39.3717007,-076.6567333,G24051002715011014,9969.69149804,445.031299715
24,510,272003,4011,245102720034011,Block 4011,G5040,U,04843,U,S,22087,0,+39.3610600,-076.6913294,G24051002720034011,22087.3854127,596.865739934
24,510,271900,1013,245102719001013,Block 1013,G5040,U,04843,U,S,11128,0,+39.3588347,-076.6766993,G24051002719001013,11128.0356761,422.857349121
24,510,271501,4004,245102715014004,Block 4004,G5040,U,04843,U,S,20328,0,+39.3633107,-076.6709469,G24051002715014004,20327.6373449,601.831760063
24,510,271900,1004,245102719001004,Block 1004,G5040,U,04843,U,S,11530,0,+39.3591612,-076.6720259,G24051002719001004,11530.0605157,430.05944104
24,510,271501,3020,245102715013020,Block 3020,G5040,U,04843,U,S,22597,0,+39.3599884,-076.6652201,G24051002715013020,22597.0964706,645.450473657
24,510,271900,2014,245102719002014,Block 2014,G5040,U,04843,U,S,12424,0,+39.3575421,-076.6772809,G24051002719002014,12424.3447009,453.412771982
24,510,271900,3014,245102719003014,Block 3014,G5040,U,04843,U,S,7875,0,+39.3542446,-076.6796186,G24051002719003014,7875.45173128,356.765697042
24,510,271700,2010,245102717002010,Block 2010,G5040,U,04843,U,S,7730,0,+39.3529817,-076.6785095,G24051002717002010,7730.132575,352.004792843
24,510,271700,2013,245102717002013,Block 2013,G5040,U,04843,U,S,3157,0,+39.3515859,-076.6815407,G24051002717002013,3156.72605225,230.982308333
24,510,271700,2015,245102717002015,Block 2015,G5040,U,04843,U,S,6427,0,+39.3521578,-076.6800758,G24051002717002015,6426.88384858,320.975254406
24,510,271801,1000,245102718011000,Block 1000,G5040,U,04843,U,S,4505,0,+39.3490226,-076.6766570,G24051002718011000,4504.7932219,283.47462109
24,510,271700,2003,245102717002003,Block 2003,G5040,U,04843,U,S,3073,0,+39.3513738,-076.6770043,G24051002717002003,3073.32712524,235.882096177
24,510,271801,1007,245102718011007,Block 1007,G5040,U,04843,U,S,9890,0,+39.3482829,-076.6800232,G24051002718011007,9889.77193319,412.498992644
24,510,271900,1014,245102719001014,Block 1014,G5040,U,04843,U,S,11244,0,+39.3579917,-076.6761094,G24051002719001014,11244.0171722,424.259733343
24,510,271900,1015,245102719001015,Block 1015,G5040,U,04843,U,S,9489,0,+39.3572265,-076.6755694,G24051002719001015,9489.40750243,398.199534456
24,510,150900,1014,245101509001014,Block 1014,G5040,U,04843,U,S,15807,0,+39.3230959,-076.6837623,G24051001509001014,15807.1703783,504.376550969
24,510,280102,6012,245102801026012,Block 6012,G5040,U,04843,U,S,15071,0,+39.3421457,-076.6884014,G24051002801026012,15071.2650743,555.520636508
24,510,280102,3002,245102801023002,Block 3002,G5040,U,04843,U,S,26464,0,+39.3336893,-076.6936921,G24051002801023002,26463.5585656,664.651163962
