         14418388 function calls (14086165 primitive calls) in 14.805 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1395/1288    0.001    0.000    0.278    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typing/templates.py:614(generic)
1395/1288    0.002    0.000    0.276    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/typing/templates.py:705(_get_impl)
     3154    0.006    0.000    0.262    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/frame.py:4135(_getitem_bool_array)
        1    0.001    0.001    0.261    0.261 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/scipy/stats/_continuous_distns.py:1(<module>)
        1    0.000    0.000    0.258    0.258 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/registry.py:1(<module>)
32796/31609    0.022    0.000    0.257    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/generic.py:6303(__getattr__)
     2545    0.010    0.000    0.256    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/polars/dataframe/frame.py:9867(with_columns)
        1    0.000    0.000    0.256    0.256 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/matplotlib/colorbar.py:1(<module>)
        1    0.000    0.000    0.254    0.254 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/arrays/arrow/__init__.py:1(<module>)
       99    0.000    0.000    0.253    0.003 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numpy/__init__.py:326(__getattr__)
        1    0.000    0.000    0.250    0.250 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/numba/core/dispatcher.py:1(<module>)
    13899    0.017    0.000    0.246    0.000 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/frame.py:4631(_get_item_cache)
        1    0.000    0.000    0.241    0.241 /Users/d3y010/.pyenv/versions/3.11.7/envs/py3.13.3_chancec/lib/python3.11/site-packages/pandas/core/frame.py:1(<module>)
    14502    0.009    0.000    0.240    0.000 /Users/d3y010/.pyenv/versions/3.11.7/lib/python3.11/statistics.py:414(mean)
